ncols	39
nrows	37
xllcorner	501826.655415
yllcorner	5174221.807663
cellsize	690.000000
NODATA_value	-32768.000000
3.89	4.71	1.23	1.56	1.12	3.93	1.54	1.24	2.31	0.63	2.70	3.47	3.98	3.39	3.35	3.42	2.93	2.63	0.89	0.92	0.86	0.81	0.80	0.77	0.67	0.69	0.84	1.82	1.01	0.70	1.38	1.94	0.66	0.79	0.91	0.76	0.57	0.54	0.54	
4.52	3.88	4.10	1.18	1.82	1.63	0.91	1.08	1.02	0.86	1.40	2.97	2.98	3.04	2.67	0.52	0.54	0.74	0.83	0.78	0.80	0.80	1.85	1.92	2.62	0.61	2.38	0.88	1.06	1.32	0.33	0.57	0.90	0.93	0.78	2.05	2.19	2.51	2.51	
2.01	4.13	4.16	1.49	4.25	3.26	3.31	1.25	1.03	1.43	4.76	2.79	2.51	0.52	0.65	0.64	2.18	0.81	0.79	2.01	2.17	2.16	2.28	2.85	3.18	2.58	2.38	2.52	1.10	1.98	2.59	0.32	1.06	1.18	1.62	0.65	1.82	0.56	0.56	
2.33	3.21	2.11	1.39	3.55	1.70	1.48	1.13	1.36	0.64	2.50	0.89	0.62	0.49	0.76	0.68	0.66	2.26	2.22	2.96	3.27	2.89	3.27	3.78	3.49	3.59	0.84	1.15	1.05	2.67	2.75	2.09	0.97	1.01	0.80	0.87	0.98	1.40	1.40	
1.12	1.43	1.37	1.88	1.64	3.33	1.56	1.13	3.20	3.90	1.13	0.34	3.89	3.17	0.83	2.70	3.08	3.03	3.13	3.57	3.68	3.32	3.61	2.41	2.77	0.55	1.13	1.15	2.11	3.33	0.24	0.46	2.70	0.80	0.78	0.79	1.09	1.22	1.22	
0.92	1.11	0.94	0.75	1.19	2.05	1.69	4.41	2.40	3.42	4.32	0.99	3.18	3.09	0.82	3.35	2.89	3.06	3.46	3.57	3.39	2.80	3.94	3.13	3.93	0.58	1.27	0.88	2.28	3.38	0.10	0.57	2.35	0.41	3.23	2.55	1.14	1.35	1.35	
0.48	0.60	0.79	0.76	0.83	1.27	1.41	1.89	1.29	1.47	1.72	3.92	4.42	2.97	3.23	3.11	3.21	3.43	3.96	3.56	3.51	3.94	3.84	3.97	3.39	2.79	1.33	1.87	2.20	2.83	0.12	0.70	2.16	3.17	3.20	0.59	1.22	1.41	1.41	
0.33	0.49	0.80	0.82	0.78	0.76	0.65	1.64	1.49	0.56	0.59	3.59	3.14	1.14	3.23	3.44	3.65	3.64	4.00	3.54	4.28	3.95	4.06	3.48	0.38	2.57	1.19	1.11	1.44	2.94	2.66	0.64	0.64	3.11	2.81	2.13	1.19	1.45	1.45	
1.53	1.52	1.56	0.82	0.78	0.82	0.80	1.10	1.58	1.10	1.38	3.04	3.15	3.42	3.58	3.80	3.82	3.56	3.80	2.76	3.56	3.11	3.60	3.11	0.18	2.92	1.05	1.74	0.80	2.21	3.27	0.55	3.08	3.82	3.15	2.47	1.16	1.51	1.51	
2.10	2.00	1.88	1.80	1.30	0.83	0.72	1.19	1.41	1.41	3.26	3.87	3.96	3.79	3.38	4.29	4.49	4.01	3.03	4.00	3.45	3.68	3.68	3.02	0.27	2.82	1.07	1.09	2.99	0.95	2.63	1.29	2.82	2.75	3.74	2.95	1.18	1.77	1.77	
1.97	2.13	1.73	0.81	0.99	0.34	0.47	1.20	0.62	1.54	4.34	4.32	3.54	3.11	3.77	4.03	3.00	2.82	2.89	4.08	3.89	3.72	1.03	2.76	0.44	2.82	0.98	1.20	2.36	2.23	3.50	3.49	2.61	0.86	2.42	1.65	1.09	1.26	1.26	
2.05	1.53	1.76	0.81	1.01	0.65	0.62	0.72	0.72	2.49	1.46	3.28	1.95	3.60	3.37	3.73	4.24	3.75	4.02	3.40	3.38	3.04	2.49	0.78	3.00	2.86	2.89	3.31	2.57	2.60	3.85	3.17	0.48	0.98	0.91	2.08	2.62	1.22	1.22	
1.56	1.31	0.73	1.50	1.06	0.74	0.71	0.59	0.87	1.09	1.14	3.21	3.04	1.47	1.47	1.38	1.43	2.64	1.70	3.55	1.82	1.64	3.99	0.81	3.63	3.03	3.05	3.01	3.41	3.94	2.35	3.09	3.73	0.78	1.00	1.01	0.97	1.68	1.68	
1.33	1.39	0.94	0.76	1.58	0.71	0.79	0.68	2.86	1.36	3.06	3.15	3.31	3.23	1.52	1.27	1.13	0.59	0.74	0.75	3.21	2.99	2.97	2.76	1.44	3.32	3.15	2.76	2.99	2.35	0.53	0.54	1.87	3.59	2.58	1.01	1.02	0.99	0.99	
1.51	0.70	0.94	0.37	1.39	0.67	0.80	0.69	1.18	1.25	1.09	0.31	3.30	3.10	1.38	1.38	1.03	1.03	0.17	0.71	3.52	0.77	2.44	3.01	2.77	3.57	3.41	3.08	3.16	3.60	0.43	0.68	2.95	0.64	0.84	0.90	1.01	1.08	1.08	
0.67	0.79	0.08	0.73	1.38	0.70	0.77	0.64	0.79	0.87	1.69	0.48	1.64	3.03	1.52	1.33	1.27	1.03	0.79	0.71	0.99	0.71	2.51	0.86	0.37	2.87	2.35	2.33	2.53	3.43	2.21	3.65	0.44	0.77	0.73	1.92	1.89	0.99	0.99	
0.71	0.80	0.08	1.09	1.29	1.15	0.95	0.90	0.86	1.00	0.98	0.89	0.40	3.09	3.18	1.58	1.38	1.43	0.60	0.40	3.09	0.63	0.85	0.91	2.52	2.67	0.82	0.81	0.40	0.46	0.49	2.91	3.28	0.76	3.37	2.03	2.24	2.76	2.76	
1.51	0.72	0.81	1.07	1.02	0.72	0.75	0.65	0.65	0.66	0.69	0.86	0.62	2.98	3.18	3.10	1.54	1.17	0.87	0.88	3.08	0.41	0.75	0.89	0.53	0.50	0.89	0.67	0.28	0.54	0.63	0.46	0.74	0.67	2.60	2.06	2.25	3.01	3.01	
1.90	1.42	1.27	1.02	0.74	0.18	0.33	0.65	0.63	0.64	0.69	0.83	2.63	0.50	3.36	3.49	2.02	1.61	1.47	1.19	3.30	2.68	2.69	0.68	0.69	0.75	0.80	0.54	0.63	0.56	0.75	0.44	1.85	0.71	3.46	0.61	2.29	1.96	1.96	
1.84	0.58	1.42	1.18	0.74	0.57	0.94	0.58	1.12	1.40	1.58	0.79	0.83	1.56	1.84	0.61	0.79	3.19	0.85	3.09	3.33	3.32	2.79	2.97	0.79	0.77	0.73	0.57	2.81	0.75	0.70	0.49	0.81	0.68	0.29	0.77	0.75	0.64	0.64	
